,Country,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,NE,Arlit,18.7369,7.3853,97.66,13,40,3.22,1601456400
1,AU,Busselton,-33.65,115.3333,62.8,74,100,13.82,1601456400
2,RU,Nikolskoye,59.7035,30.7861,59.59,80,67,4.0,1601456400
3,NZ,Ahipara,-35.1667,173.1667,52.88,73,18,5.64,1601456400
4,NA,Lüderitz,-26.6481,15.1594,66.27,55,0,24.81,1601456400
5,CN,Altay,47.8667,88.1167,45.48,56,70,7.61,1601456400
6,NZ,Bluff,-46.6,168.3333,48.94,86,87,14.63,1601456400
7,US,Plainview,40.7765,-73.4673,71.02,90,95,14.16,1601456400
8,CL,Punta Arenas,-53.15,-70.9167,35.89,87,86,24.96,1601456400
9,CA,Provost,52.3501,-110.2683,45.55,58,0,10.74,1601456400
10,ZA,Cape Town,-33.9258,18.4232,59.13,53,60,9.19,1601456400
11,RU,Verkhnyaya Maksakovka,61.635,50.9674,56.84,68,100,4.72,1601456400
12,GL,Qaanaaq,77.484,-69.3632,13.96,78,0,6.06,1601456400
13,MX,Cabo San Lucas,22.8909,-109.9124,80.37,76,0,2.86,1601456400
14,ZA,Port Alfred,-33.5906,26.891,67.95,52,2,13.78,1601456400
15,AU,Mount Gambier,-37.8333,140.7667,51.19,84,74,9.01,1601456400
16,RU,Dikson,73.5069,80.5464,35.94,81,100,13.47,1601456400
17,RU,Ostashkov,57.1467,33.1075,59.38,60,34,7.83,1601456400
18,MU,Bambous Virieux,-20.3428,57.7575,74.86,73,48,12.86,1601456400
19,PY,Pedro Juan Caballero,-22.5472,-55.7333,74.95,48,18,5.08,1601456400
20,MX,Praxédis Guerrero,31.3667,-106.0167,62.58,28,1,3.27,1601456400
21,RE,Saint-Philippe,-21.3585,55.7679,74.17,69,39,13.04,1601456400
22,MU,Mahébourg,-20.4081,57.7,74.73,72,47,13.13,1601456400
23,PT,Ribeira Grande,38.5167,-28.7,67.28,78,21,11.25,1601456400
24,SA,Abhā,18.2164,42.5053,77.05,21,2,3.4,1601456400
25,IN,Tiruchchendur,8.4833,78.1167,93.38,51,38,15.66,1601456400
26,CN,Linfen,36.0889,111.5189,73.89,48,94,7.81,1601456400
27,US,Kapaa,22.0752,-159.319,78.46,77,1,5.7,1601456400
28,AU,Hobart,-42.8794,147.3294,57.2,62,87,8.55,1601456400
29,IN,Kavaratti,10.5669,72.642,82.62,76,60,12.57,1601456400
30,CL,Coquimbo,-29.9533,-71.3436,50.2,78,0,4.36,1601456400
31,US,Saint Paul Harbor,57.79,-152.4072,51.84,95,95,19.42,1601456400
32,UA,Zolochiv,49.806,24.8944,55.56,97,87,10.36,1601456400
33,BR,Cidreira,-30.1811,-50.2056,62.55,92,59,7.36,1601456400
34,GA,Omboué,-1.5746,9.2618,81.16,67,99,6.17,1601456400
35,ES,Alcúdia,39.8532,3.1214,70.77,65,61,2.06,1601456400
36,NU,Alofi,-19.0595,-169.9187,78.01,89,44,19.26,1601456400
37,GL,Upernavik,72.7868,-56.1549,23.76,92,87,12.1,1601456400
38,AF,Oruzgan,32.8333,66.0,67.01,24,27,9.4,1601456400
39,AU,New Norfolk,-42.7826,147.0587,55.76,66,98,5.21,1601456400
40,NZ,Mataura,-46.1927,168.8643,45.46,93,96,3.56,1601456400
41,RU,Nyurba,63.2842,118.3319,35.42,77,98,2.3,1601456400
42,KI,Butaritari,3.0707,172.7902,82.47,75,23,12.15,1601456400
43,ZA,Kruisfontein,-34.0033,24.7314,67.32,48,0,1.36,1601456400
44,US,Albany,42.6001,-73.9662,56.75,90,100,11.59,1601456400
45,US,Jamestown,42.097,-79.2353,48.6,93,94,5.75,1601456400
46,LK,Hambantota,6.1241,81.1185,83.39,78,86,24.61,1601456400
47,TG,Aného,6.2333,1.6,81.16,81,68,11.56,1601456400
48,US,Nome,64.5011,-165.4064,38.61,81,86,5.95,1601456400
49,GH,Esim,4.8699,-2.2405,78.69,88,97,10.36,1601456400
50,ZA,Hermanus,-34.4187,19.2345,56.19,64,66,8.37,1601456400
51,CA,Port Hawkesbury,45.6169,-61.3485,66.04,94,90,9.46,1601456400
52,RO,Costineşti,43.95,28.6333,67.24,48,24,13.06,1601456400
53,YT,Chirongui,-12.9319,45.1483,81.79,74,25,8.84,1601456400
54,CA,Yellowknife,62.456,-114.3525,37.9,88,48,5.26,1601456400
55,BR,Castro,-24.7911,-50.0119,61.0,90,28,3.56,1601456400
56,BR,Brusque,-27.0981,-48.9175,64.24,93,84,1.61,1601456400
57,PH,Bogo,11.0517,124.0055,85.42,70,96,3.71,1601456400
58,PF,Atuona,-9.8,-139.0333,78.69,74,2,23.15,1601456400
59,DK,Hvide Sande,56.0045,8.1294,58.89,92,87,13.91,1601456400
60,MR,Adrar,20.5022,-10.0711,90.1,26,2,15.26,1601456400
61,AR,Santa Fe,-31.6333,-60.7,60.49,87,0,8.46,1601456400
62,AR,Ushuaia,-54.8,-68.3,28.71,93,82,5.79,1601456400
63,SN,Dakar,14.6937,-17.4441,82.09,84,63,12.68,1601456400
64,MV,Mahibadhoo,3.7833,72.9667,82.98,72,98,9.1,1601456400
65,DE,Reinbek,53.5167,10.25,60.91,81,79,3.98,1601456400
66,US,‘Āhuimanu,21.4447,-157.8378,77.02,67,20,5.21,1601456400
67,GA,Port-Gentil,-0.7193,8.7815,79.16,75,87,7.07,1601456400
68,PF,Rikitea,-23.1203,-134.9692,70.09,80,55,23.06,1601456400
69,RO,Chiajna,44.46,25.9733,64.11,50,62,8.63,1601456400
70,SO,Eyl,7.9803,49.8164,81.99,63,100,18.86,1601456400
71,NO,Vigrestad,58.5667,5.7,56.8,93,80,17.87,1601456400
72,TZ,Dunda,-8.1167,34.25,93.29,34,18,4.36,1601456400
73,US,Pacific Grove,36.6177,-121.9166,58.96,88,46,6.17,1601456400
74,GL,Qaqortoq,60.7167,-46.0333,28.27,64,18,4.68,1601456400
75,US,Meadow Lake,34.8014,-106.5436,56.08,32,1,5.7,1601456400
76,NC,Pouébo,-20.4,164.5667,69.93,72,57,15.26,1601456400
77,US,Washington,47.5001,-120.5015,56.8,68,0,3.11,1601456400
78,US,Rapid Valley,44.0625,-103.1463,57.9,50,37,11.9,1601456400
79,AR,Tres Arroyos,-38.3739,-60.2798,52.9,93,6,8.21,1601456400
80,BR,Caravelas,-17.7125,-39.2481,73.08,89,24,4.29,1601456400
81,AO,Mossamedes,-15.1961,12.1522,69.93,78,84,6.53,1601456400
82,RU,Zhigansk,66.7697,123.3711,33.71,89,91,7.74,1601456400
83,RU,Khabary,53.6259,79.5345,47.84,53,2,7.96,1601456400
84,AR,Mar del Plata,-38.0023,-57.5575,53.65,87,15,11.63,1601456400
85,RU,Chokurdakh,70.6333,147.9167,42.24,90,95,12.28,1601456400
86,NZ,Hanmer Springs,-42.5167,172.8167,40.96,76,42,4.45,1601456400
87,LY,Benghazi,32.1167,20.0667,79.56,60,0,10.36,1601456400
88,RU,Charyshskoye,51.3978,83.5598,40.23,74,99,4.21,1601456400
89,BR,Barra da Estiva,-13.6261,-41.3269,60.3,96,37,5.14,1601456400
90,ZA,Bredasdorp,-34.5322,20.0403,60.57,52,42,8.37,1601456400
91,CA,Maple Creek,49.9168,-109.4848,49.1,51,50,12.39,1601456400
92,MX,Acapulco de Juárez,16.8634,-99.8901,79.45,78,68,4.07,1601456400
93,SA,Najrān,17.4924,44.1277,91.67,13,19,11.65,1601456400
94,CA,Kitimat,54.0524,-128.6534,51.44,84,13,5.86,1601456400
95,RU,Evensk,61.95,159.2333,42.71,93,100,6.22,1601456400
96,RU,Ostrovnoy,68.0531,39.5131,52.03,76,4,15.95,1601456400
97,IR,Mehrān,33.1222,46.1646,98.29,24,0,20.36,1601456400
98,BR,Acaraú,-2.8856,-40.12,79.03,72,69,18.28,1601456400
99,CA,Prince George,53.9166,-122.753,44.28,96,21,2.55,1601456400
100,UA,Mala Tokmachka,47.5356,35.8929,60.75,83,69,20.85,1601456400
101,CM,Wum,6.3833,10.0667,73.29,88,99,2.1,1601456400
102,CA,Mackenzie,55.2999,-123.1698,42.58,89,7,1.7,1601456400
103,IN,Port Blair,11.6667,92.75,84.97,74,12,17.85,1601456400
104,ES,Cervo,43.6702,-7.4101,62.33,36,47,8.72,1601456400
105,KZ,Balkhash,46.844,74.9804,55.71,27,0,18.45,1601456400
106,SJ,Longyearbyen,78.2186,15.6401,37.71,87,87,11.45,1601456400
107,AU,Maningrida,-12.0667,134.2667,82.83,66,17,11.45,1601456400
108,GR,Methóni,36.8197,21.7049,73.35,53,13,18.59,1601456400
109,AR,Venado Tuerto,-33.7456,-61.9688,57.76,83,0,6.62,1601456400
110,CN,Xining,36.6167,101.7667,57.69,62,73,9.93,1601456400
111,CO,El Tarra,8.5756,-73.0949,73.72,82,100,3.47,1601456400
112,PF,Tautira,-17.7333,-149.15,78.67,77,20,22.19,1601456400
113,CA,Iqaluit,63.7506,-68.5145,28.6,80,95,13.73,1601456400
114,PG,Daru,-9.0763,143.2092,77.97,78,99,15.21,1601456400
115,MX,Rosarito,32.3333,-117.0333,78.19,56,3,5.32,1601456400
116,BR,Campanha,-21.8361,-45.4006,66.0,83,57,2.86,1601456400
117,CD,Butembo,0.15,29.2833,71.4,80,94,3.24,1601456400
118,MX,Tomatlán,19.9333,-105.25,76.26,87,86,3.71,1601456400
119,TM,Akdepe,42.0551,59.3788,70.12,21,17,7.94,1601456400
120,ES,La Rioja,42.25,-2.5,66.27,53,0,1.01,1601456400
121,RU,Naryan-Mar,67.6713,53.087,51.01,78,30,11.65,1601456400
122,RU,Pudozh,61.8099,36.5345,56.48,83,90,2.37,1601456400
123,BR,Itiruçu,-13.5317,-40.1503,64.81,86,84,6.29,1601456400
124,JP,Kamiiso,41.8167,140.65,61.93,77,55,7.4,1601456400
125,AU,Port Augusta,-32.5,137.7667,65.07,57,71,6.82,1601456400
126,VN,Nha Trang,12.25,109.1833,89.24,67,52,6.08,1601456400
127,MX,Tulum,20.2167,-87.4667,73.96,94,23,4.07,1601456400
128,RU,Tiksi,71.6872,128.8694,33.67,93,100,14.72,1601456400
129,RU,Yar-Sale,66.8333,70.8333,45.09,79,100,3.89,1601456400
130,IN,Dhārchula,29.85,80.5333,81.63,38,0,6.33,1601456400
131,PL,Hrubieszów,50.805,23.8925,54.28,94,100,14.43,1601456400
132,NO,Mehamn,71.0357,27.8492,52.32,83,43,5.1,1601456400
133,MX,Progreso,21.2833,-89.6667,78.89,90,99,10.38,1601456400
134,GF,Cayenne,4.9333,-52.3333,77.95,93,47,6.26,1601456400
135,NO,Sørland,67.667,12.6934,52.07,92,95,12.71,1601456400
136,SE,Kiruna,67.8557,20.2251,46.27,94,66,12.3,1601456400
137,US,Makakilo City,21.3469,-158.0858,76.21,70,20,3.38,1601456400
138,CA,Burgeo,47.6167,-57.6152,60.87,95,76,7.85,1601456400
139,US,Barrow,71.2906,-156.7887,30.97,99,89,10.4,1601456400
140,NZ,Kaitangata,-46.2817,169.8464,46.53,82,96,8.84,1601456400
141,CA,Tuktoyaktuk,69.4541,-133.0374,35.15,89,66,1.97,1601456400
142,PT,Camacha,33.0833,-16.3333,69.67,72,61,14.34,1601456400
143,CA,Thompson,55.7435,-97.8558,43.27,97,82,7.05,1601456400
144,US,Myrtle Beach,33.6891,-78.8867,61.21,89,92,9.51,1601456400
145,US,Saint George,37.1041,-113.5841,66.78,19,1,3.13,1601456400
146,VN,Thanh Hoa,19.8,105.7667,86.2,77,86,8.12,1601456400
147,PL,Olsztyn,53.7799,20.4942,58.35,73,99,9.89,1601456400
148,MZ,Beira,-19.8436,34.8389,80.96,62,28,10.11,1601456400
149,RU,Zyryanka,65.75,150.85,48.87,59,99,8.37,1601456400
150,ID,Banda Aceh,5.5577,95.3222,85.01,68,82,7.47,1601456400
151,ID,Manado,1.487,124.8455,85.24,71,54,0.63,1601456400
152,US,Palmer,42.1584,-72.3287,70.09,94,95,16.55,1601456400
153,JP,Hirara,24.8,125.2833,79.32,71,62,26.49,1601456400
154,BR,Capinópolis,-18.6819,-49.5697,78.08,23,38,6.4,1601456400
155,DM,Pointe Michel,15.25,-61.3833,82.71,78,39,15.55,1601456400
156,ID,Manokwari,-0.8667,134.0833,82.2,78,57,7.56,1601456400
157,GN,Dinguiraye,11.3,-10.7167,77.22,85,21,2.37,1601456400
158,ML,Ténenkou,14.4572,-4.9169,92.8,37,22,7.27,1601456400
159,JP,Naze,28.3667,129.4833,70.84,92,86,9.6,1601456400
160,CN,Shaping,22.7545,112.9565,84.99,78,68,0.22,1601456400
161,MV,Hithadhoo,-0.6,73.0833,83.55,66,100,5.23,1601456400
162,BR,Santa Vitória do Palmar,-33.5189,-53.3681,52.14,96,2,1.41,1601456400
163,CV,Vila do Maio,15.1333,-23.2167,79.57,80,58,13.35,1601456400
164,UZ,Romitan,39.9343,64.3814,72.27,19,0,11.48,1601456400
165,JP,Nemuro,43.3236,145.575,56.84,83,99,8.46,1601456400
166,ID,Soe,-9.8607,124.284,82.15,42,90,8.01,1601456400
167,ES,Adeje,28.1227,-16.726,70.7,63,38,5.53,1601456400
168,RU,Vostok,46.4856,135.8833,47.23,76,79,1.25,1601456400
169,AU,Alice Springs,-23.7,133.8833,79.3,26,2,15.19,1601456400
170,RU,Belaya Gora,68.5333,146.4167,45.14,60,74,12.08,1601456400
171,AU,Esperance,-33.8667,121.9,64.78,70,9,6.4,1601456400
172,ML,Tessalit,20.1986,1.0114,100.4,11,0,10.8,1601456400
173,ID,Poso,-1.3959,120.7524,84.56,66,92,0.63,1601456400
174,IN,Tekkali,18.6167,84.2333,79.03,87,100,1.95,1601456400
175,CN,Zhaotong,27.3167,103.7167,65.88,77,95,5.68,1601456400
176,RU,Khatanga,71.9667,102.5,29.95,95,96,11.14,1601456400
177,AU,Byron Bay,-28.65,153.6167,64.38,65,69,10.78,1601456400
178,EC,Puerto Ayora,-0.7393,-90.3518,66.9,88,91,11.18,1601456400
179,ET,Jijiga,9.35,42.8,73.24,67,95,12.8,1601456400
180,US,Excelsior Springs,39.3392,-94.2261,55.45,69,1,7.23,1601456400
181,VN,Phan Thiet,10.9333,108.1,89.2,66,99,11.52,1601456400
182,AU,Karratha,-20.7377,116.8463,89.37,20,34,12.86,1601456400
183,CA,Norman Wells,65.282,-126.8329,38.53,84,37,4.7,1601456400
184,CN,Huicheng,23.0385,116.2899,76.23,87,85,18.61,1601456400
185,CA,Baie-Comeau,49.2168,-68.1489,56.21,94,95,5.06,1601456400
186,GB,Newport,51.5877,-2.9984,55.13,93,92,20.31,1601456400
187,US,Rantoul,40.3084,-88.1559,49.78,84,38,11.41,1601456400
188,JP,Shingū,33.7333,135.9833,71.74,70,87,1.99,1601456400
189,EG,Ţahţā,26.7693,31.5021,104.22,18,0,4.32,1601456400
190,CU,Remedios,22.4947,-79.5458,75.88,90,12,3.24,1601456400
191,US,Kahului,20.8947,-156.47,77.72,73,25,7.94,1601456400
192,CF,Batangafo,7.3008,18.2833,79.65,89,99,4.05,1601456400
193,PA,Chiriquí Grande,8.95,-82.1167,76.3,83,93,3.31,1601456400
194,US,College,64.8569,-147.8028,45.3,78,65,8.72,1601456400
195,FR,Arrondissement de Blois,47.5833,1.3333,62.04,83,89,7.23,1601456400
196,US,Virginia Beach,36.8529,-75.978,64.83,89,95,15.79,1601456400
197,RU,Tegul'det,57.3064,88.1667,41.02,66,97,6.85,1601456400
198,AU,Dalby,-27.1833,151.2667,62.06,65,64,6.2,1601456400
199,TH,Chiang Klang,19.2938,100.8617,89.58,69,57,2.62,1601456400
200,AU,Yulara,-25.2406,130.9889,84.22,17,0,10.78,1601456400
201,AU,Port Lincoln,-34.7333,135.8667,58.73,73,61,12.59,1601456400
202,RU,Beringovskiy,63.05,179.3167,40.73,76,7,4.36,1601456400
203,AU,Codrington,-38.2667,141.9667,54.68,83,100,14.63,1601456400
204,TO,Vaini,-21.2,-175.2,76.91,90,87,15.7,1601456400
205,ES,Muros,42.7762,-9.0603,61.65,83,21,4.83,1601456400
206,PG,Lorengau,-2.0226,147.2712,83.44,76,42,7.76,1601456400
207,CA,Aklavik,68.2191,-135.0107,36.03,85,28,2.33,1601456400
208,BR,Humaitá,-7.5061,-63.0208,71.91,94,100,2.19,1601456400
209,GL,Tasiilaq,65.6145,-37.6368,26.19,84,84,8.1,1601456400
210,RU,Yaroslavl,57.6299,39.8737,61.7,55,90,9.78,1601456400
211,LY,Masallātah,32.6167,14.0,77.32,64,0,10.47,1601456400
212,IR,Mīāndoāb,36.9694,46.1027,72.61,28,0,3.04,1601456400
213,HK,Hong Kong,22.2855,114.1577,82.83,82,40,13.22,1601456400
214,JM,Mandeville,18.0417,-77.5071,74.14,92,65,2.8,1601456400
215,PH,Caruray,10.3094,119.0128,85.6,73,57,4.23,1601456400
216,RU,Provideniya,64.3833,-173.3,34.65,88,1,2.33,1601456400
217,RU,Ozernovskiy,51.5,156.5167,49.8,84,58,4.03,1601456400
218,ID,Bengkulu,-3.8004,102.2655,86.85,63,29,15.32,1601456400
219,CA,Haines Junction,60.7522,-137.5108,39.88,82,100,1.03,1601456400
220,RU,Otradnoye,59.7775,30.8181,59.61,78,73,4.0,1601456400
221,MY,George Town,5.4112,100.3354,85.5,68,58,5.75,1601456400
222,YT,Dzaoudzi,-12.7887,45.2699,81.66,74,16,11.41,1601456400
223,RU,Okha,53.5739,142.9478,50.65,83,76,8.99,1601456400
224,ZA,Saldanha,-33.0117,17.9442,58.17,63,24,17.76,1601456400
225,CA,Port Hardy,50.6996,-127.4199,60.8,88,3,8.48,1601456400
226,AO,Kuito,-12.3833,16.9333,84.2,53,81,3.76,1601456400
227,BR,Touros,-5.1989,-35.4608,76.8,84,30,13.42,1601456400
228,BR,Arraial do Cabo,-22.9661,-42.0278,72.88,90,55,10.25,1601456400
229,IQ,Sinjār,36.3209,41.8754,89.78,14,0,6.62,1601456400
230,PT,Lagoa,39.05,-27.9833,67.5,79,22,12.66,1601456400
231,MX,La Reforma,18.1,-91.0167,72.81,98,88,6.51,1601456400
232,AU,Port Macquarie,-31.4333,152.9167,63.27,67,100,8.41,1601456400
233,RU,Kedrovyy,56.1667,91.8167,38.88,63,60,5.06,1601456400
234,ET,Debre Tabor,11.85,38.0167,66.78,62,61,11.3,1601456400
235,US,Hilo,19.7297,-155.09,77.67,75,11,3.42,1601456400
236,US,El Dorado,33.2076,-92.6663,54.73,85,1,4.41,1601456400
237,TZ,Madimba,-10.4,40.3333,84.45,56,76,8.63,1601456400
